c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum
Customer#000206551,206551,7062629,1992-06-27,476712.50,313.00
Customer#000069115,69115,8991333,1995-04-10,476643.29,305.00
Customer#000073237,73237,4806726,1995-01-17,475126.60,328.00
Customer#000102550,102550,11231077,1994-05-27,474885.58,304.00
Customer#000094636,94636,11484962,1992-02-10,474637.23,306.00
Customer#000274891,274891,5489475,1997-05-23,472628.40,311.00
Customer#000233716,233716,6222658,1994-03-08,472060.77,301.00
Customer#000133577,133577,2199712,1996-09-30,471613.59,327.00
Customer#000100295,100295,9304229,1997-08-24,471230.83,309.00
Customer#000215180,215180,4267751,1994-11-04,470850.41,301.00
Customer#000023455,23455,8506019,1992-12-16,470729.76,306.00
Customer#000014002,14002,6899299,1995-06-09,470680.00,304.00
Customer#000128963,128963,2745894,1996-07-04,469644.06,304.00
Customer#000000662,662,6210853,1997-08-08,468532.20,303.00
Customer#000132196,132196,5007490,1992-08-07,468280.08,304.00
Customer#000165761,165761,10678725,1992-12-07,467972.03,309.00
Customer#000145120,145120,9506693,1993-07-20,467907.67,314.00
Customer#000011041,11041,10906593,1996-03-16,467027.12,308.00
Customer#000177751,177751,983201,1993-12-30,467006.49,304.00
Customer#000299683,299683,5156581,1994-05-30,465109.59,302.00
Customer#000031238,31238,3767271,1996-08-07,464369.61,318.00
Customer#000186784,186784,5200102,1997-01-22,463001.54,304.00
Customer#000210520,210520,5296167,1996-09-06,462985.12,303.00
Customer#000025198,25198,4259524,1998-02-12,459692.13,304.00
Customer#000218758,218758,5746311,1996-10-10,458654.75,302.00
Customer#000232682,232682,11141606,1997-09-28,458531.43,325.00
Customer#000020257,20257,5849444,1994-03-21,457991.43,309.00
Customer#000149837,149837,7611718,1992-05-01,457280.64,301.00
Customer#000031261,31261,1845057,1994-05-12,456727.12,302.00
Customer#000091076,91076,4527553,1994-05-22,454287.75,305.00
Customer#000075458,75458,4134341,1995-06-29,452919.89,309.00
Customer#000121946,121946,10603495,1998-04-03,451679.52,307.00
Customer#000036376,36376,3037414,1995-01-25,450431.57,308.00
Customer#000293215,293215,3342468,1994-06-12,450203.06,303.00
Customer#000277372,277372,6651397,1992-07-14,449447.34,301.00
Customer#000253729,253729,4702759,1994-11-07,449354.44,320.00
Customer#000156268,156268,9727175,1995-03-18,448303.82,302.00
Customer#000137995,137995,11120293,1995-08-08,447741.16,311.00
Customer#000192056,192056,8319046,1995-10-07,447733.56,307.00
Customer#000163162,163162,4739650,1995-11-04,447726.56,305.00
Customer#000282196,282196,565574,1995-09-24,446458.46,301.00
Customer#000237038,237038,9782273,1994-12-05,444492.94,302.00
Customer#000030544,30544,3883783,1993-07-28,444372.07,302.00
Customer#000035332,35332,9128386,1992-12-07,444057.63,301.00
Customer#000037675,37675,6581665,1993-12-04,443419.02,303.00
Customer#000243403,243403,10442629,1993-01-13,441808.77,302.00
Customer#000297769,297769,2942469,1992-05-31,441511.00,313.00
Customer#000073498,73498,6292038,1997-11-12,441048.89,305.00
Customer#000092869,92869,4745607,1997-07-03,437137.71,309.00
Customer#000210820,210820,4478371,1996-03-05,437081.44,302.00
Customer#000109204,109204,5832321,1997-02-09,434396.90,307.00
Customer#000089872,89872,8433440,1997-04-18,432389.68,305.00
Customer#000239977,239977,1544643,1997-09-20,432199.00,320.00
Customer#000140336,140336,10740227,1992-12-20,431147.74,308.00
Customer#000106055,106055,2662214,1993-08-13,430384.62,302.00
Customer#000177122,177122,10858721,1998-06-03,430279.31,306.00
Customer#000028972,28972,11599171,1998-03-22,429291.68,316.00
Customer#000007360,7360,3861123,1998-07-03,426823.00,301.00
Customer#000235837,235837,2869152,1996-06-20,425702.17,317.00
Customer#000036226,36226,8590657,1996-08-29,423882.75,303.00
Customer#000234151,234151,4290656,1997-02-05,423465.94,301.00
Customer#000157342,157342,6203745,1997-07-22,422867.14,302.00
Customer#000225971,225971,4439686,1996-09-17,416380.12,305.00
