nation,o_year,sum_profit
FRANCE                   ,1994,92136608.5301
FRANCE                   ,1993,89491625.9296
FRANCE                   ,1992,91273565.2348
GERMANY                  ,1998,51690617.8676
GERMANY                  ,1997,96818129.2387
GERMANY                  ,1996,95113202.7890
GERMANY                  ,1995,94361431.0447
GERMANY                  ,1994,91908144.2795
GERMANY                  ,1993,93059626.1451
GERMANY                  ,1992,94761590.9827
INDIA                    ,1998,52991890.2505
INDIA                    ,1997,88622825.9907
INDIA                    ,1996,89866321.4878
INDIA                    ,1995,92350943.4066
INDIA                    ,1994,89375401.4046
INDIA                    ,1993,88255827.0587
INDIA                    ,1992,91107131.4385
INDONESIA                ,1998,61353102.1575
INDONESIA                ,1997,102702417.6925
INDONESIA                ,1996,97908304.7841
INDONESIA                ,1995,101847802.8834
INDONESIA                ,1994,100361827.5562
INDONESIA                ,1993,100108180.9108
INDONESIA                ,1992,99838006.8181
IRAN                     ,1998,53939404.9396
IRAN                     ,1997,94351938.5193
IRAN                     ,1996,94298701.9674
IRAN                     ,1995,93341858.6934
IRAN                     ,1994,90334440.5429
IRAN                     ,1993,93102778.0663
IRAN                     ,1992,92357614.9906
IRAQ                     ,1998,57217014.2814
IRAQ                     ,1997,94017506.5283
IRAQ                     ,1996,94249150.7065
IRAQ                     ,1995,94145857.2643
IRAQ                     ,1994,98241925.8484
IRAQ                     ,1993,98715128.3684
IRAQ                     ,1992,98769237.6703
JAPAN                    ,1998,54606625.5011
JAPAN                    ,1997,91829315.2385
JAPAN                    ,1996,91762274.7737
JAPAN                    ,1995,90330635.3326
JAPAN                    ,1994,87944525.9108
JAPAN                    ,1993,91473639.4968
JAPAN                    ,1992,90636758.8024
JORDAN                   ,1998,55306365.2275
JORDAN                   ,1997,93833554.0359
JORDAN                   ,1996,97076689.5557
JORDAN                   ,1995,94065383.0464
JORDAN                   ,1994,97351374.4250
JORDAN                   ,1993,96936015.3533
JORDAN                   ,1992,96014307.4774
KENYA                    ,1998,49061785.9042
KENYA                    ,1997,86416365.9699
KENYA                    ,1996,86434066.1493
KENYA                    ,1995,87314626.3182
KENYA                    ,1994,88312133.3362
KENYA                    ,1993,88077973.6337
KENYA                    ,1992,84272286.1903
MOROCCO                  ,1998,52778315.1505
MOROCCO                  ,1997,86510262.1961
MOROCCO                  ,1996,91352109.6958
MOROCCO                  ,1995,84576616.7714
MOROCCO                  ,1994,86495012.2802
MOROCCO                  ,1993,84306809.2025
MOROCCO                  ,1992,86002696.2710
MOZAMBIQUE               ,1998,53553399.7655
MOZAMBIQUE               ,1997,91403025.1666
MOZAMBIQUE               ,1996,90466253.8712
MOZAMBIQUE               ,1995,91175734.9080
MOZAMBIQUE               ,1994,91543791.4458
MOZAMBIQUE               ,1993,95202482.1039
MOZAMBIQUE               ,1992,92480764.5544
PERU                     ,1998,57992726.9377
PERU                     ,1997,100431465.1702
PERU                     ,1996,99746826.2539
PERU                     ,1995,99463792.1718
PERU                     ,1994,100108034.8858
PERU                     ,1993,97322918.0930
PERU                     ,1992,95627489.4440
ROMANIA                  ,1998,56041872.4840
ROMANIA                  ,1997,94375195.7736
ROMANIA                  ,1996,95910823.7101
ROMANIA                  ,1995,91143949.0105
ROMANIA                  ,1994,94112462.7760
ROMANIA                  ,1993,90325388.4854
ROMANIA                  ,1992,94263589.4240
RUSSIA                   ,1998,55626008.9029
RUSSIA                   ,1997,92065957.8176
RUSSIA                   ,1996,96087711.6461
RUSSIA                   ,1995,95896377.0179
RUSSIA                   ,1994,93944231.9480
RUSSIA                   ,1993,95702346.2416
RUSSIA                   ,1992,93540760.5892
SAUDI ARABIA             ,1998,55082475.2087
SAUDI ARABIA             ,1997,94788550.3711
SAUDI ARABIA             ,1996,95367838.9700
SAUDI ARABIA             ,1995,98228499.8440
SAUDI ARABIA             ,1994,100209323.2611
SAUDI ARABIA             ,1993,99078860.7609
SAUDI ARABIA             ,1992,94543127.2010
UNITED KINGDOM           ,1998,55880598.4874
UNITED KINGDOM           ,1997,95003231.5055
UNITED KINGDOM           ,1996,97142884.5143
UNITED KINGDOM           ,1995,95410522.8332
UNITED KINGDOM           ,1994,92937084.8488
UNITED KINGDOM           ,1993,94488045.4290
UNITED KINGDOM           ,1992,97244198.4452
UNITED STATES            ,1998,57397893.8995
UNITED STATES            ,1997,98129801.4058
UNITED STATES            ,1996,97623118.9560
UNITED STATES            ,1995,98943652.4054
UNITED STATES            ,1994,100375910.8063
UNITED STATES            ,1993,96143187.4314
UNITED STATES            ,1992,98331771.3619
VIETNAM                  ,1998,52318461.5787
VIETNAM                  ,1997,87129448.7401
VIETNAM                  ,1996,87249726.4858
VIETNAM                  ,1995,91650989.8475
VIETNAM                  ,1994,89214326.1343
VIETNAM                  ,1993,87186447.0392
VIETNAM                  ,1992,87335126.5163
