ps_partkey,value
347597,9837663.60
344415,9832767.49
379878,9823554.74
187961,9820162.07
225043,9820149.25
72783,9816642.24
9039,9816447.72
354733,9806637.17
366241,9803969.00
51996,9797558.75
392079,9791614.04
227947,9789949.31
349257,9789832.04
371384,9786190.70
115617,9785222.81
305509,9778248.67
126493,9775773.65
33817,9773177.10
218374,9772645.90
226366,9745961.16
269848,9743662.74
66746,9743528.76
162034,9743322.63
7824,9736116.04
374449,9734475.14
314328,9733074.14
309621,9730280.47
147428,9725894.40
144616,9725607.45
3141,9722257.90
13615,9720567.60
229033,9717335.54
228926,9713709.86
46556,9709428.95
261271,9708150.90
305002,9707246.60
376864,9704195.28
280436,9701263.80
379608,9700522.53
391791,9695203.01
335131,9694897.87
311181,9694636.77
230053,9685280.97
257031,9683296.14
340616,9681170.64
300740,9680063.11
90044,9676065.60
300616,9675508.28
138895,9675057.00
310854,9673506.18
219294,9670047.62
291504,9669904.12
312084,9665940.18
218907,9663495.56
172280,9662075.58
310195,9658630.62
9586,9657890.88
221455,9657518.05
58992,9655046.64
116030,9648410.52
33913,9645980.96
61435,9637771.42
21225,9637122.32
150681,9636036.48
232076,9635554.08
326771,9634618.22
210124,9618764.80
228382,9614084.48
343533,9613187.52
77070,9611008.06
32264,9605691.13
218357,9605134.27
20622,9604761.12
276048,9602754.37
211100,9602498.99
101920,9601252.02
28139,9597083.14
281483,9587830.95
225639,9583302.33
373490,9580540.10
111397,9571801.25
118434,9571771.80
2682,9569687.93
385605,9569001.13
314083,9568634.08
206709,9567970.25
285479,9565977.98
103531,9562016.75
197648,9561980.10
51478,9558106.42
237351,9553867.91
42755,9552311.55
229512,9550262.47
128788,9548468.79
202927,9546272.81
310995,9544447.08
107635,9537754.53
108807,9536247.16
30209,9534490.33
235032,9534317.04
141372,9529702.14
64171,9524651.68
93761,9524595.93
397499,9520579.38
234575,9519909.96
226343,9515845.20
303747,9512524.68
52974,9511668.18
331639,9509291.00
276460,9503943.55
69245,9497187.25
265211,9495687.40
383134,9491766.18
157058,9491054.13
399586,9486057.13
16107,9484421.52
391689,9482057.30
48170,9474861.39
335104,9474679.52
329451,9464911.24
4357,9464355.64
131956,9461521.50
73069,9460150.25
33464,9459377.37
328590,9456700.16
55033,9455497.92
24634,9452878.66
59757,9451390.14
352327,9449541.00
369693,9449511.99
185298,9448804.39
207591,9446782.52
178403,9446493.87
284220,9440935.54
295981,9440896.60
92516,9440646.60
6028,9440535.05
271641,9440027.20
111755,9438673.44
182736,9438254.32
188808,9433757.22
219764,9432036.90
26489,9431949.24
101908,9431084.40
383310,9428374.47
365335,9427750.24
101351,9426951.93
255978,9426432.06
358796,9425889.00
118301,9424153.40
6243,9423304.66
254449,9421891.05
232714,9418033.56
210624,9416957.72
166147,9416487.45
173480,9409900.29
114124,9409366.40
60884,9403442.40
108976,9402668.46
245347,9402134.28
53512,9401813.96
37884,9399683.00
42671,9391856.69
114706,9391474.26
325424,9388706.21
40059,9388585.60
46897,9385056.21
173076,9383701.25
351637,9383389.95
354681,9382948.40
220532,9382287.60
281657,9381769.58
96480,9381744.50
373059,9381340.98
296366,9381120.00
118384,9380282.58
24936,9378749.10
315558,9376519.10
200126,9372175.11
157601,9371712.36
182202,9370444.50
162323,9367566.51
140350,9361174.80
145306,9358785.19
193393,9358627.98
252332,9357283.88
147682,9356973.67
7323,9356712.30
301673,9356420.56
249458,9355561.60
19731,9355550.70
1372,9355238.10
100804,9351712.09
315914,9347543.82
71703,9346473.76
287670,9344953.26
193087,9343744.00
230208,9340297.68
131996,9340139.34
250359,9338926.03
264835,9337808.91
365314,9337667.85
154872,9335611.08
377331,9334719.86
196543,9334086.51
345298,9331512.84
223694,9327109.80
55252,9325974.50
6703,9325389.42
104687,9325299.06
277869,9325168.86
55686,9320304.40
345615,9317829.45
4851,9317237.55
223074,9314541.27
337696,9313328.02
232571,9312672.46
244403,9307969.14
278122,9307768.54
188728,9306162.60
348020,9304327.12
268024,9301439.70
238786,9299681.00
180963,9297849.44
274645,9294527.39
17979,9284648.49
66590,9280082.46
319307,9279962.19
247833,9279408.09
271536,9278320.90
222865,9278132.40
237611,9277678.63
84731,9276586.92
120130,9271618.92
285128,9270513.47
160008,9269063.10
63279,9268907.13
319283,9268518.75
101311,9268501.32
2523,9267422.64
211356,9264818.82
217615,9260430.06
154832,9258139.20
373565,9256422.15
254815,9250406.69
398704,9249555.82
107980,9247953.89
332417,9241416.74
77213,9240350.40
103388,9239218.08
31542,9238355.28
221332,9234447.38
357249,9230672.29
263683,9227772.75
316642,9225600.90
143822,9225019.47
83328,9224792.20
177623,9224449.50
320492,9224203.75
262592,9221639.46
29323,9221002.45
88323,9220394.56
276748,9220297.14
174547,9219945.00
353969,9219418.08
141730,9216370.68
87304,9215695.50
50891,9215675.70
140740,9215329.20
100648,9212185.08
10181,9210967.40
92150,9209349.18
251807,9209297.61
268792,9207792.75
55145,9207268.35
61372,9205228.76
111824,9203253.36
177957,9202941.27
28504,9201669.20
79700,9201397.81
312677,9196374.06
65668,9194262.48
295614,9192280.44
229058,9190965.00
302454,9189813.60
221232,9189675.04
352232,9187940.79
321657,9183759.33
197979,9183730.00
159822,9180814.83
344776,9180763.60
17988,9180566.59
128430,9179789.30
4691,9179050.68
343582,9178759.80
335352,9178562.46
81264,9178252.86
327623,9177382.14
114497,9175319.09
52609,9174547.20
90024,9172909.76
358752,9171305.70
185136,9171293.04
219244,9170943.47
389064,9169092.96
153242,9169082.89
353425,9167220.68
201491,9165291.40
167780,9165108.60
239408,9163205.40
12957,9161616.78
185190,9156364.80
5157,9155647.62
9035,9152784.15
319754,9151930.80
175203,9151913.24
196656,9150089.64
23310,9149288.85
41399,9148338.00
352044,9148144.32
168691,9146415.32
329741,9146398.30
339715,9144057.56
370632,9143760.56
97737,9139054.10
45622,9138837.95
225757,9138577.14
206790,9134887.50
381057,9133726.20
168672,9133085.79
185409,9131603.32
37969,9130792.00
308671,9130306.68
244507,9127986.76
75938,9126059.40
373683,9125062.30
210023,9123652.64
396861,9122138.60
170600,9121789.51
162292,9121405.10
155574,9120909.77
347310,9120557.04
43547,9116728.77
338816,9115673.50
297255,9115452.57
22221,9113568.38
316956,9113298.97
231788,9112479.75
115038,9111093.74
80191,9110819.48
334178,9110388.90
237265,9109750.65
113318,9108338.76
97064,9106101.40
199878,9104747.20
121109,9104046.13
360204,9103903.20
44602,9101541.24
155264,9101228.40
18592,9095625.66
64690,9095441.10
193463,9094836.80
197491,9093970.90
100216,9093027.72
86943,9092253.00
187204,9091873.56
138859,9087719.30
321340,9084816.16
231662,9084691.44
205013,9084474.12
236416,9080057.31
324900,9080015.64
382224,9079641.48
268858,9079563.46
18708,9078721.79
216460,9076663.98
232070,9076556.32
135989,9074968.20
178792,9072994.71
3851,9072657.24
181271,9070631.52
159879,9069146.94
278948,9068041.32
121776,9063422.64
361468,9062696.27
276212,9062265.08
182629,9061661.70
386726,9061102.74
255795,9060572.01
263544,9059117.83
259262,9058909.12
106256,9058558.32
278388,9057143.79
375100,9056770.24
95801,9054198.75
165298,9051130.32
276696,9050275.48
72824,9048756.60
78285,9047720.85
179425,9046504.60
181433,9044916.75
223037,9044305.76
174401,9043846.83
241714,9040878.54
8823,9040855.10
272788,9040446.10
243121,9040137.68
314569,9039522.75
138969,9035478.32
46033,9031460.58
275920,9030416.85
253923,9028297.08
197239,9024692.56
159292,9024378.79
290199,9023653.70
368478,9022889.92
300513,9022866.93
241972,9022379.52
75089,9021820.22
161342,9019007.50
105917,9018442.54
281574,9017707.46
146770,9016037.06
382744,9015652.80
31890,9014510.16
29058,9011248.26
82301,9007765.29
241049,9006459.58
355908,9001356.09
362962,8999997.08
119846,8997870.22
188792,8996014.00
117271,8994531.25
348807,8992083.36
375704,8990381.05
29176,8989399.75
232095,8989086.92
378548,8987647.14
282500,8987339.34
37670,8982390.59
177397,8981870.98
384529,8981494.46
238659,8981217.28
198622,8981178.96
240233,8980967.88
225247,8980117.20
353037,8980008.84
193624,8979508.23
231824,8978921.69
268708,8978898.64
145761,8977531.50
165302,8976151.75
372165,8975122.76
12193,8973603.00
311828,8972906.68
319005,8971615.38
182299,8968113.97
364419,8967658.95
338768,8966502.40
145190,8966071.64
90203,8964917.82
258792,8964218.76
282042,8962382.90
345337,8961152.79
349414,8960696.28
246061,8959583.84
394316,8958455.30
376048,8958378.25
189430,8958115.12
371964,8957451.30
26917,8955998.52
276800,8955512.34
163364,8955069.67
46775,8949274.98
78180,8946814.80
241078,8945505.09
17611,8945315.52
105869,8944600.50
130983,8944195.40
257670,8943975.04
108099,8942158.16
14896,8941993.14
320206,8941108.68
196845,8940090.78
285530,8938267.48
101502,8938047.48
196662,8936407.50
247240,8935082.80
259827,8935069.68
240625,8933760.00
198311,8933712.48
194230,8931867.06
327258,8929248.25
105371,8927488.83
163924,8926995.40
245306,8926496.00
4039,8923673.93
397011,8921702.00
225067,8921430.00
364892,8921218.20
294805,8920383.06
382814,8919130.68
274996,8916962.40
389853,8915939.68
43686,8915543.84
339176,8914963.20
281621,8912974.32
134915,8912878.08
118914,8911387.68
369730,8907443.76
200035,8906021.85
135932,8905282.95
262427,8905159.50
56115,8899746.25
350758,8897019.18
254164,8896444.88
13514,8895830.08
379930,8895620.65
392480,8894225.12
48716,8892402.80
246469,8891778.84
153907,8891312.76
65755,8889779.01
84780,8889144.20
121562,8887740.40
55203,8884105.23
368081,8882728.11
44731,8882444.95
328185,8881881.36
225353,8879599.68
242203,8878240.81
43474,8877042.72
386625,8876012.44
246703,8875444.25
96624,8875052.40
103706,8874903.51
149394,8874824.35
167941,8872330.04
215604,8872235.10
130199,8866080.89
8141,8864056.79
105104,8862997.12
198118,8862486.25
126771,8862372.70
27177,8861903.82
30584,8861323.71
166843,8861200.80
303595,8858802.74
212231,8858620.94
232229,8855712.27
3091,8854757.22
160740,8852685.43
138091,8852463.34
191504,8852190.54
221622,8851314.42
252689,8849156.28
308609,8846830.68
250790,8844075.49
96465,8843737.76
332274,8843541.88
344356,8842455.18
142716,8842203.65
186712,8841956.82
235168,8840977.09
82600,8840967.45
349689,8840519.70
293804,8840242.72
283843,8840197.84
320532,8838598.86
201607,8835875.28
247124,8833767.75
328932,8832860.16
230209,8832206.83
115248,8831859.40
312792,8831768.70
365941,8830647.48
93920,8829270.87
373816,8829017.10
150174,8826936.10
167071,8825978.75
256720,8825297.08
211238,8824564.08
291071,8824233.60
388564,8820298.16
251538,8819276.62
101788,8819247.60
260209,8818757.76
58753,8818534.01
165620,8818404.74
14761,8817240.56
164646,8815470.18
101467,8814711.62
32498,8812258.86
22290,8811824.01
220755,8810488.92
359424,8809602.65
123123,8809016.04
58320,8808917.65
206634,8808503.96
59355,8806028.14
395957,8805545.40
212662,8805215.40
162217,8805041.19
157705,8802278.28
370561,8801372.58
312641,8801087.68
205588,8799759.16
20383,8799073.28
78539,8798336.19
368437,8797804.47
246022,8796791.50
143233,8796161.34
250383,8794182.96
72187,8793884.40
304419,8792818.35
157202,8788287.88
340964,8787712.71
349384,8787535.36
56150,8787174.40
326351,8786520.27
239828,8786129.58
47218,8785785.94
360288,8784594.40
83595,8783953.46
63535,8783345.40
356632,8781061.79
336641,8779856.49
220032,8775844.01
156264,8774706.24
218544,8774582.74
227527,8774198.16
4322,8774090.22
173744,8772593.96
312419,8772344.14
157590,8772006.45
137058,8771170.33
27489,8771057.28
198790,8769825.66
357344,8768897.55
171091,8768845.56
320221,8768265.58
120408,8768011.12
204300,8767639.60
205211,8767042.80
161364,8766211.21
69310,8764695.60
156720,8764376.85
113683,8764308.23
293500,8762872.58
63145,8761991.96
945,8760692.05
334383,8758383.36
381752,8757661.50
64036,8756104.83
184688,8755591.68
376888,8754955.96
51718,8752790.90
250157,8752235.83
292787,8751768.66
88625,8751692.74
210258,8751664.95
95088,8751084.16
223161,8747014.08
103861,8745561.00
198797,8744048.76
26391,8741399.64
191816,8740258.72
368726,8739323.46
360845,8738866.72
216809,8736355.44
168891,8734296.90
390539,8733884.82
168543,8732829.58
55358,8732237.30
29189,8731684.32
287265,8730943.60
217075,8729865.64
42743,8729043.22
209391,8727137.40
347753,8725421.98
128755,8724783.20
253924,8723273.64
382442,8723207.79
121720,8721564.40
23948,8721026.60
73911,8720556.67
177600,8720032.50
176679,8718689.70
169373,8718609.06
245246,8717591.09
63596,8717320.58
82227,8717207.40
348696,8714942.89
97645,8714278.72
399115,8713993.88
235273,8713263.69
342387,8713219.08
364896,8709820.56
67930,8707894.20
208394,8706813.30
264636,8706382.80
27049,8703560.35
345748,8701489.35
10456,8699152.15
242533,8697581.62
9938,8697138.04
31238,8694167.00
3463,8692973.90
230103,8689709.29
307691,8687473.88
241711,8687420.24
89842,8686860.80
131014,8686773.49
226698,8684654.00
238036,8682512.84
254274,8681819.92
255374,8680117.60
121010,8678342.57
323447,8677625.44
108178,8676952.68
162829,8676463.36
155148,8676079.33
232612,8676033.91
75250,8675257.14
59268,8674033.90
373340,8672264.40
153802,8671620.37
113952,8670095.58
167483,8668542.90
115257,8668255.29
325,8667741.28
57605,8666962.58
61498,8664578.02
209109,8661928.86
56921,8661614.27
51547,8658680.31
322995,8658438.39
77793,8655742.50
333761,8653960.20
163664,8652076.49
206463,8651688.11
5349,8648156.44
221447,8644408.88
396522,8643972.84
17223,8643000.03
184752,8642762.64
381750,8642751.68
370634,8641936.45
197009,8641188.40
384980,8639363.94
128443,8639231.36
275729,8635574.66
117615,8634322.83
297581,8634317.10
19322,8634239.92
215801,8633137.94
337472,8632611.60
94729,8630614.53
208613,8629687.12
123496,8629507.44
339026,8627543.54
304220,8626812.40
24175,8626674.16
56962,8623998.12
149165,8623122.30
85742,8623110.19
132168,8621489.84
94399,8620524.00
382807,8618115.43
227764,8615201.94
16268,8615087.46
35256,8614788.40
371619,8613442.97
121322,8612948.23
16843,8612300.88
313345,8609463.54
333950,8608663.48
71363,8608415.04
318826,8607493.64
192518,8604685.50
257544,8604623.28
341926,8602397.16
344125,8602352.10
370289,8602239.36
243552,8599875.02
242514,8599324.44
203427,8599028.68
256891,8597541.88
97293,8596710.78
144061,8595718.74
83503,8595034.20
156732,8594115.98
231949,8593141.95
19503,8592161.20
172876,8591317.97
39854,8591101.64
205223,8590921.78
188807,8588682.50
323484,8588674.72
38670,8588451.16
242406,8588155.92
309761,8587548.65
180038,8585138.79
274313,8582639.88
166471,8582184.60
64352,8582120.91
173349,8581413.12
119602,8581057.20
185484,8580219.66
110226,8579020.17
125635,8578708.95
69410,8577398.58
78862,8576799.44
339752,8576008.64
294177,8575689.83
278099,8574288.10
23067,8572542.48
118746,8571858.41
397144,8571420.45
120860,8570610.44
391633,8568671.85
83808,8567941.20
261421,8566621.60
131208,8566341.18
45051,8566116.72
347279,8565039.00
17957,8564920.88
33139,8563002.66
369688,8560890.81
180577,8557802.28
294811,8557748.32
195172,8557417.18
308114,8555910.00
9563,8554762.59
70078,8553793.49
277279,8553095.16
90109,8552856.13
271450,8552748.48
340224,8552220.32
120325,8549976.60
98407,8549696.88
206617,8546004.00
45362,8545019.48
370896,8544803.55
39694,8544103.52
196409,8543968.51
192478,8543471.42
276658,8542681.67
106644,8541524.86
331829,8541259.52
351594,8538764.49
46010,8538716.84
254391,8538667.89
258817,8537757.30
371067,8537224.50
197466,8533609.70
224829,8532762.96
351031,8532389.32
14320,8531146.80
181093,8528303.52
11562,8528028.57
223570,8527666.86
341127,8526890.45
353828,8524499.38
90360,8523937.84
381034,8523862.06
199268,8523599.58
81558,8522968.32
276412,8522596.70
201945,8521622.64
351148,8520714.84
127339,8518570.20
93172,8517495.60
167169,8516075.68
212053,8512453.95
105954,8511693.82
79608,8509272.44
138409,8508135.78
390079,8507368.64
205623,8506389.78
382590,8505333.05
86718,8504976.44
164504,8503350.77
204161,8503142.42
354852,8503042.84
251837,8502707.84
72101,8502196.59
263393,8501331.60
134714,8500329.56
216013,8500180.50
177227,8499788.00
133740,8499212.88
176217,8498513.11
72282,8497213.89
117983,8496934.32
230912,8496903.15
309307,8496771.12
80933,8495870.11
31397,8495342.12
154086,8494891.95
193280,8494279.43
25030,8493933.22
41657,8492096.67
175319,8491723.42
22163,8491357.86
29147,8490317.82
113926,8489889.15
185353,8488726.68
88280,8486611.91
393337,8486227.86
163615,8484985.01
218788,8481960.82
285017,8481472.89
77285,8481442.32
303464,8480310.48
48589,8479474.36
325654,8479140.45
77721,8478968.10
235908,8477510.84
26661,8476620.80
123437,8475139.44
67866,8474733.52
33624,8474475.00
174832,8472291.44
369355,8471624.28
147044,8471534.40
103992,8471461.24
332126,8471382.56
219210,8469023.85
305691,8467556.72
122356,8467274.88
321926,8466381.21
365329,8466216.08
142299,8466039.55
367765,8462430.01
341671,8461626.24
107143,8460591.62
198805,8458287.92
159685,8457467.04
248235,8456968.05
78530,8456717.28
62322,8456097.16
37619,8455823.46
289431,8455098.77
146925,8454887.91
336100,8453632.95
358609,8451881.88
164562,8450860.95
93988,8449300.21
36011,8448945.28
223722,8447612.16
376781,8446919.70
391619,8446613.43
355738,8445596.85
306336,8445174.96
363091,8445121.08
384286,8443755.20
303538,8443370.37
247660,8441194.41
127361,8441094.08
340669,8440577.30
333864,8439891.86
45397,8439869.24
227623,8439795.98
324270,8437178.42
16033,8437028.57
148346,8436296.50
345439,8436112.38
309839,8435511.00
112651,8435034.75
139539,8434180.29
274203,8433596.40
39310,8433214.55
223470,8433208.35
135346,8431913.00
196708,8431767.82
257280,8430552.35
93579,8430208.20
46393,8429995.37
344196,8429534.40
295582,8429000.67
13275,8428662.66
278753,8428309.75
107291,8428226.46
272148,8427239.60
53930,8425731.99
137871,8425625.68
117809,8425017.45
358622,8423847.84
171766,8423061.84
159448,8421104.12
384205,8420801.76
161285,8420652.30
20189,8420192.55
309586,8418857.82
258001,8418807.33
160730,8418289.68
319356,8418273.59
303533,8417124.27
298895,8416352.50
273287,8415284.08
58914,8411928.03
231007,8411798.78
379563,8411657.00
62988,8411571.48
398249,8410871.44
371522,8410109.52
128252,8408897.13
30456,8405890.56
291427,8405744.15
93739,8403415.68
88474,8402807.35
168114,8402764.56
269200,8398236.00
342921,8397928.56
112618,8396922.60
222671,8394392.37
284837,8394300.00
105935,8392026.20
63898,8391521.44
106867,8391419.96
261326,8390884.44
314385,8387997.31
218686,8387705.40
393792,8387353.48
290203,8386725.68
66202,8386522.83
174731,8385797.95
142675,8385566.57
297099,8385379.58
45700,8384901.56
335612,8384428.80
397185,8383503.24
318923,8382856.00
141825,8382561.88
341754,8381729.79
106698,8380612.80
391309,8380180.32
230054,8379242.59
380062,8378566.99
287087,8378391.84
360620,8377845.20
170412,8376655.20
103806,8376339.19
343197,8375409.21
113189,8374283.92
135142,8374069.77
257611,8373695.89
316196,8373551.96
323755,8371662.18
291699,8370061.58
54031,8369024.26
173978,8368729.16
278442,8368015.92
232888,8367835.06
349921,8367749.60
15932,8367427.80
262230,8367192.60
134172,8366998.71
90173,8365803.75
137400,8364777.39
212279,8364677.42
209062,8363992.01
25567,8363231.25
265660,8361743.95
250198,8361741.15
74204,8357527.20
143456,8357110.08
313494,8356745.25
134940,8356453.60
77801,8355958.32
33516,8355008.96
212580,8354300.58
318666,8353565.96
127486,8353249.60
48435,8352863.10
171292,8351824.80
22608,8350614.36
214669,8348613.00
28623,8348321.44
101394,8348284.36
171512,8347561.68
8701,8347398.29
178854,8345905.00
359314,8344560.84
203554,8343174.20
122654,8341622.80
201435,8340768.72
28286,8339229.64
15634,8337409.57
313709,8336584.12
189501,8334325.78
257884,8334040.00
18718,8333902.41
286167,8333203.44
392908,8332515.36
308696,8332209.34
284357,8330904.80
285580,8330716.20
239946,8330435.00
259397,8328596.04
174861,8327726.21
44240,8327684.64
295413,8326757.70
201106,8326569.24
253502,8326229.76
81642,8324439.66
126354,8324422.46
388394,8323784.32
27164,8323276.80
77680,8322615.60
166902,8321351.58
208188,8319774.36
198486,8319759.69
217621,8319306.69
358225,8319264.96
109008,8317836.54
22634,8316531.24
372287,8315373.44
166654,8314332.64
54318,8314242.40
258914,8313816.36
31273,8312787.36
126040,8312623.20
282731,8311993.92
192862,8311849.00
186469,8310198.11
293245,8309192.32
262292,8307398.31
333833,8307085.68
349322,8306624.41
16980,8305658.40
264423,8305192.36
143612,8304620.88
215789,8303626.96
195283,8303112.95
291824,8302370.34
34466,8302159.32
253774,8300732.49
266243,8299898.50
158463,8299827.04
211651,8299243.80
111301,8298382.18
358259,8297778.37
21396,8296272.27
343941,8294839.16
245145,8294265.24
228773,8293511.35
30780,8291580.00
180659,8290930.44
324437,8290182.60
28863,8290171.68
284733,8289486.66
371584,8288716.50
302892,8288180.86
283367,8287013.40
142831,8286734.79
64473,8286137.44
194401,8284648.42
140653,8284067.78
266256,8284016.68
91778,8283712.65
301301,8283700.50
233663,8283087.56
265226,8282812.50
76300,8280419.40
274298,8280113.14
35558,8279669.60
389294,8279622.40
134706,8278865.01
33693,8277724.26
220762,8276995.00
383107,8275729.91
83819,8274908.95
119889,8274344.99
355089,8274228.90
143636,8273870.52
66770,8273407.80
360094,8272775.38
288527,8272315.00
281966,8271460.95
186268,8270880.17
254826,8269576.30
185239,8269402.44
299823,8269305.92
246397,8269274.00
316366,8268546.40
89702,8267808.05
65307,8267716.92
28717,8267255.88
36014,8266190.99
313499,8264405.03
303963,8262326.10
193089,8261975.68
44412,8261684.91
304971,8261628.75
53894,8260555.37
253247,8260128.50
365909,8257974.85
346101,8257147.20
372668,8256021.09
247243,8254669.40
203812,8253816.96
49033,8253696.23
32472,8253311.76
379274,8252823.77
307626,8252010.13
254337,8251642.62
187195,8251334.58
202314,8250926.70
180527,8250407.55
87951,8247202.92
96860,8246522.46
7052,8245276.20
72067,8245248.18
326955,8244603.01
214711,8243657.03
333272,8243634.70
327060,8243629.35
105825,8243423.76
144692,8243070.64
105638,8242467.72
104922,8240473.60
202449,8239498.38
1522,8239291.74
374619,8239039.06
133624,8238963.02
70030,8238547.68
256596,8237210.80
115945,8234811.36
244155,8232555.69
267267,8232136.54
33592,8231651.83
90438,8230774.50
164922,8229298.26
75594,8229096.00
140147,8228198.62
59401,8228196.92
329715,8228119.90
377058,8227456.80
108455,8226035.75
227040,8225688.76
318146,8224198.65
204395,8221240.30
123629,8220617.76
341856,8220421.69
356689,8219570.48
203865,8219071.48
254669,8217940.20
228100,8217068.40
132220,8217065.84
232340,8216633.70
177706,8215723.50
145442,8215706.16
313100,8213465.92
93380,8213364.64
110100,8212952.16
257034,8212367.67
293921,8210713.12
91144,8209855.02
90354,8209114.56
197114,8208879.84
398803,8208649.53
376487,8208542.70
107646,8208300.64
