prev_year,year,i_brand_id,i_class_id,i_category_id,i_manufact_id,prev_yr_cnt,curr_yr_cnt,sales_cnt_diff,sales_amt_diff
2000,2001,8005001,10,8,301,7692,6313,-1379,-25439.35
2000,2001,8009002,9,8,305,8085,6710,-1375,-87500.93
2000,2001,8006004,6,8,255,7352,5980,-1372,-73899.96
2000,2001,8011010,16,8,630,7622,6252,-1370,-76243.17
2000,2001,8013008,13,8,471,7800,6433,-1367,-88482.56
2000,2001,8010006,10,8,119,9020,7661,-1359,-18049.16
2000,2001,8010006,10,8,298,8331,6977,-1354,-80054.34
2000,2001,8002004,2,8,896,7079,5726,-1353,-36754.59
2000,2001,8016006,16,8,44,7828,6482,-1346,-25303.78
2000,2001,8008008,8,8,99,7069,5739,-1330,-58032.85
2000,2001,8007002,7,8,353,7191,5876,-1315,-18589.21
2000,2001,8016006,16,8,602,8361,7052,-1309,10759.12
2000,2001,8001002,1,8,588,7426,6119,-1307,-81703.69
2000,2001,1003001,3,8,195,8226,6921,-1305,-106819.24
2000,2001,7009003,6,8,764,7692,6387,-1305,-100190.78
2000,2001,8010002,10,8,231,7642,6342,-1300,-169473.12
2000,2001,7004005,4,8,408,7368,6075,-1293,25199.68
2000,2001,5004001,8,8,894,7234,5946,-1288,-21157.23
2000,2001,8002008,2,8,663,8543,7256,-1287,-10828.00
2000,2001,8002010,2,8,630,7890,6618,-1272,-59800.72
2000,2001,8010002,10,8,234,7540,6282,-1258,-181477.70
2000,2001,8007008,7,8,69,7810,6560,-1250,-83697.68
2000,2001,8008006,8,8,82,7968,6721,-1247,-36100.15
2000,2001,8015008,6,8,795,8467,7223,-1244,-28009.32
2000,2001,8015002,15,8,18,7418,6214,-1204,-45112.70
2000,2001,8013008,13,8,437,7731,6530,-1201,-43937.58
2000,2001,8015008,2,8,442,7928,6731,-1197,-148251.31
2000,2001,8004006,1,8,508,7966,6774,-1192,-106133.75
2000,2001,8016004,16,8,576,7798,6606,-1192,-85707.78
2000,2001,8016006,16,8,597,6605,5415,-1190,-89889.06
2000,2001,8014006,14,8,689,7796,6612,-1184,-66480.90
2000,2001,8001002,1,8,497,8262,7081,-1181,-30744.52
2000,2001,10011016,11,8,231,7826,6655,-1171,-27391.85
2000,2001,10001011,7,8,221,7504,6338,-1166,-24546.28
