i_category,i_class,i_brand,s_store_name,s_company_name,d_moy,sum_sales,avg_monthly_sales
Music                                             ,classical                                         ,edu packscholar #1                                ,able,Unknown,5,2762.27,4932.5525000000000000
Music                                             ,classical                                         ,edu packscholar #2                                ,cally,Unknown,5,2977.09,5146.4475000000000000
Music                                             ,classical                                         ,edu packscholar #2                                ,eing,Unknown,4,2681.52,4839.1041666666666667
Music                                             ,classical                                         ,edu packscholar #2                                ,pri,Unknown,4,2546.42,4703.2658333333333333
Women                                             ,dresses                                           ,amalgamalg #2                                     ,ation,Unknown,4,2580.36,4733.0866666666666667
Music                                             ,classical                                         ,edu packscholar #2                                ,cally,Unknown,6,3006.06,5146.4475000000000000
Women                                             ,dresses                                           ,amalgamalg #2                                     ,ought,Unknown,2,2647.95,4781.9308333333333333
Music                                             ,classical                                         ,edu packscholar #2                                ,eing,Unknown,6,2723.16,4839.1041666666666667
Women                                             ,dresses                                           ,amalgamalg #2                                     ,ought,Unknown,4,2705.19,4781.9308333333333333
Women                                             ,dresses                                           ,amalgamalg #2                                     ,ought,Unknown,3,2720.49,4781.9308333333333333
Music                                             ,classical                                         ,edu packscholar #2                                ,ought,Unknown,4,2874.90,4932.1741666666666667
