channel,col_name,d_year,d_qoy,i_category,sales_cnt,sales_amt
catalog,cs_ship_mode_sk,1999,2,Children                                          ,22,41930.08
catalog,cs_ship_mode_sk,1999,2,Electronics                                       ,15,12865.52
catalog,cs_ship_mode_sk,1999,2,Home                                              ,24,9020.01
catalog,cs_ship_mode_sk,1999,2,Jewelry                                           ,23,41646.45
catalog,cs_ship_mode_sk,1999,2,Men                                               ,9,17569.96
catalog,cs_ship_mode_sk,1999,2,Music                                             ,13,5528.56
catalog,cs_ship_mode_sk,1999,2,Shoes                                             ,25,31200.34
catalog,cs_ship_mode_sk,1999,2,Sports                                            ,25,63252.75
catalog,cs_ship_mode_sk,1999,2,Women                                             ,19,34027.27
catalog,cs_ship_mode_sk,1999,3,null,1,10608.89
catalog,cs_ship_mode_sk,1999,3,Books                                             ,34,38185.52
catalog,cs_ship_mode_sk,1999,3,Children                                          ,30,44463.81
catalog,cs_ship_mode_sk,1999,3,Electronics                                       ,46,56963.39
catalog,cs_ship_mode_sk,1999,3,Home                                              ,38,42193.84
catalog,cs_ship_mode_sk,1999,3,Jewelry                                           ,25,32879.41
catalog,cs_ship_mode_sk,1999,3,Men                                               ,37,42487.75
catalog,cs_ship_mode_sk,1999,3,Music                                             ,27,49808.38
catalog,cs_ship_mode_sk,1999,3,Shoes                                             ,37,53267.37
catalog,cs_ship_mode_sk,1999,3,Sports                                            ,39,42307.95
catalog,cs_ship_mode_sk,1999,3,Women                                             ,41,49549.75
catalog,cs_ship_mode_sk,1999,4,Books                                             ,66,71834.05
catalog,cs_ship_mode_sk,1999,4,Children                                          ,51,96352.28
catalog,cs_ship_mode_sk,1999,4,Electronics                                       ,70,96684.17
catalog,cs_ship_mode_sk,1999,4,Home                                              ,63,83940.47
catalog,cs_ship_mode_sk,1999,4,Jewelry                                           ,79,103364.79
catalog,cs_ship_mode_sk,1999,4,Men                                               ,53,85506.84
catalog,cs_ship_mode_sk,1999,4,Music                                             ,65,104268.45
catalog,cs_ship_mode_sk,1999,4,Shoes                                             ,76,72596.81
catalog,cs_ship_mode_sk,1999,4,Sports                                            ,55,80043.01
catalog,cs_ship_mode_sk,1999,4,Women                                             ,58,68445.48
catalog,cs_ship_mode_sk,2000,1,null,1,null
catalog,cs_ship_mode_sk,2000,1,Books                                             ,16,29045.65
catalog,cs_ship_mode_sk,2000,1,Children                                          ,20,4107.85
catalog,cs_ship_mode_sk,2000,1,Electronics                                       ,13,18169.87
catalog,cs_ship_mode_sk,2000,1,Home                                              ,17,14533.27
catalog,cs_ship_mode_sk,2000,1,Jewelry                                           ,27,37247.78
catalog,cs_ship_mode_sk,2000,1,Men                                               ,25,51841.27
catalog,cs_ship_mode_sk,2000,1,Music                                             ,18,23934.52
catalog,cs_ship_mode_sk,2000,1,Shoes                                             ,16,4867.89
catalog,cs_ship_mode_sk,2000,1,Sports                                            ,22,13839.96
catalog,cs_ship_mode_sk,2000,1,Women                                             ,31,29600.21
catalog,cs_ship_mode_sk,2000,2,Books                                             ,23,38241.60
catalog,cs_ship_mode_sk,2000,2,Children                                          ,22,23442.37
catalog,cs_ship_mode_sk,2000,2,Electronics                                       ,18,24610.80
catalog,cs_ship_mode_sk,2000,2,Home                                              ,14,31320.91
catalog,cs_ship_mode_sk,2000,2,Jewelry                                           ,18,39988.65
