substr,sm_type,web_name,30 days,31-60 days,61-90 days,91-120 days,>120 days
Bad cards must make.,OVERNIGHT                     ,site_0,408,411,455,413,0
Bad cards must make.,OVERNIGHT                     ,site_1,511,484,492,491,0
Bad cards must make.,OVERNIGHT                     ,site_2,506,478,484,479,0
Bad cards must make.,OVERNIGHT                     ,site_3,394,463,422,407,0
Bad cards must make.,OVERNIGHT                     ,site_4,384,346,343,350,0
Bad cards must make.,REGULAR                       ,site_0,422,448,452,429,0
Bad cards must make.,REGULAR                       ,site_1,383,360,376,324,0
Bad cards must make.,REGULAR                       ,site_2,410,428,457,457,0
Bad cards must make.,REGULAR                       ,site_3,492,504,462,495,0
Bad cards must make.,REGULAR                       ,site_4,479,487,468,473,0
Bad cards must make.,TWO DAY                       ,site_0,507,462,493,422,0
Bad cards must make.,TWO DAY                       ,site_1,554,478,513,472,0
Bad cards must make.,TWO DAY                       ,site_2,437,419,413,447,0
Bad cards must make.,TWO DAY                       ,site_3,353,367,421,346,0
Bad cards must make.,TWO DAY                       ,site_4,382,416,429,438,0
Conventional childr,EXPRESS                       ,site_0,630,627,621,584,0
Conventional childr,EXPRESS                       ,site_1,523,561,511,560,0
Conventional childr,EXPRESS                       ,site_2,529,534,557,507,0
Conventional childr,EXPRESS                       ,site_3,623,609,619,568,0
Conventional childr,EXPRESS                       ,site_4,610,568,599,611,0
Conventional childr,LIBRARY                       ,site_0,486,466,456,449,0
Conventional childr,LIBRARY                       ,site_1,463,509,497,478,0
Conventional childr,LIBRARY                       ,site_2,391,424,425,404,0
Conventional childr,LIBRARY                       ,site_3,364,380,360,380,0
Conventional childr,LIBRARY                       ,site_4,433,381,424,407,0
Conventional childr,NEXT DAY                      ,site_0,530,547,549,543,0
Conventional childr,NEXT DAY                      ,site_1,566,532,558,541,0
Conventional childr,NEXT DAY                      ,site_2,580,571,608,597,0
Conventional childr,NEXT DAY                      ,site_3,567,622,608,650,0
Conventional childr,NEXT DAY                      ,site_4,629,588,624,601,0
Conventional childr,OVERNIGHT                     ,site_0,329,353,331,367,0
Conventional childr,OVERNIGHT                     ,site_1,408,407,443,416,0
Conventional childr,OVERNIGHT                     ,site_2,473,472,470,479,0
Conventional childr,OVERNIGHT                     ,site_3,477,475,511,489,0
Conventional childr,OVERNIGHT                     ,site_4,447,413,450,371,0
Conventional childr,REGULAR                       ,site_0,454,494,504,481,0
Conventional childr,REGULAR                       ,site_1,451,408,432,394,0
Conventional childr,REGULAR                       ,site_2,344,340,378,363,0
Conventional childr,REGULAR                       ,site_3,429,448,418,387,0
Conventional childr,REGULAR                       ,site_4,490,483,443,453,0
Conventional childr,TWO DAY                       ,site_0,421,419,412,400,0
Conventional childr,TWO DAY                       ,site_1,474,481,512,488,0
Conventional childr,TWO DAY                       ,site_2,460,490,477,504,0
Conventional childr,TWO DAY                       ,site_3,440,412,464,397,0
Conventional childr,TWO DAY                       ,site_4,345,375,349,402,0
Doors canno,EXPRESS                       ,site_0,611,572,598,625,0
Doors canno,EXPRESS                       ,site_1,561,634,572,608,0
Doors canno,EXPRESS                       ,site_2,597,539,567,556,0
Doors canno,EXPRESS                       ,site_3,566,532,579,545,0
Doors canno,EXPRESS                       ,site_4,585,584,562,637,0
Doors canno,LIBRARY                       ,site_0,429,433,425,445,0
Doors canno,LIBRARY                       ,site_1,526,508,454,544,0
Doors canno,LIBRARY                       ,site_2,469,502,483,463,0
Doors canno,LIBRARY                       ,site_3,411,425,413,441,0
Doors canno,LIBRARY                       ,site_4,368,377,379,369,0
