ty_channel,ty_brand,ty_class,ty_category,ty_sales,ty_number_sales,ly_channel,ly_brand,ly_class,ly_category,ly_sales,ly_number_sales
store,1003001,3,5,59512.83,19,store,1003001,3,5,41172.19,15
store,1003001,3,6,125328.54,25,store,1003001,3,6,7662.67,3
store,1003001,3,8,32807.85,13,store,1003001,3,8,21740.13,6
store,1003001,3,9,130207.39,30,store,1003001,3,9,62430.69,15
store,1003001,3,10,32099.63,7,store,1003001,3,10,19857.83,8
store,1003001,4,1,23592.16,7,store,1003001,4,1,50763.76,8
store,1003001,4,4,28894.85,5,store,1003001,4,4,12291.30,4
store,1003001,4,5,28976.19,5,store,1003001,4,5,7627.30,2
store,1003001,6,9,9976.01,4,store,1003001,6,9,4519.20,1
store,1003001,7,6,11724.75,4,store,1003001,7,6,18266.41,6
store,1003001,12,10,6668.70,2,store,1003001,12,10,11075.06,5
store,1003001,13,10,22083.49,4,store,1003001,13,10,14339.98,3
store,1003002,1,1,115496.11,32,store,1003002,1,1,79785.22,22
store,1003002,2,1,106813.60,25,store,1003002,2,1,21209.80,5
store,1003002,3,1,1790904.86,486,store,1003002,3,1,1456492.97,399
store,1003002,4,1,65458.63,15,store,1003002,4,1,32300.54,6
store,1003002,5,1,16420.62,6,store,1003002,5,1,36900.39,4
store,1003002,6,1,10116.65,2,store,1003002,6,1,9437.26,3
store,1003002,8,1,33280.77,4,store,1003002,8,1,7237.53,1
store,1003002,9,1,19562.14,6,store,1003002,9,1,47616.70,12
store,1003002,12,1,56484.24,18,store,1003002,12,1,6520.89,7
store,1003002,14,1,40822.45,9,store,1003002,14,1,6251.09,2
store,1004001,1,3,35495.37,9,store,1004001,1,3,37488.98,11
store,1004001,2,1,37938.08,11,store,1004001,2,1,24717.36,10
store,1004001,3,2,45416.49,9,store,1004001,3,2,23242.91,8
store,1004001,3,6,34606.77,6,store,1004001,3,6,10882.26,4
store,1004001,3,9,31740.79,5,store,1004001,3,9,17559.20,2
