substr,sm_type,cc_name,30 days,31-60 days,61-90 days,91-120 days,>120 days
Conventional childr,TWO DAY                       ,California,1155,1168,1039,0,0
Conventional childr,TWO DAY                       ,Mid Atlantic,1088,1171,1108,0,0
Conventional childr,TWO DAY                       ,NY Metro,1090,1154,1090,0,0
Conventional childr,TWO DAY                       ,North Midwest,1098,1115,1102,0,0
Conventional childr,TWO DAY                       ,Pacific Northwest,1120,1151,1012,0,0
Doors canno,EXPRESS                       ,California,1444,1510,1357,0,0
Doors canno,EXPRESS                       ,Mid Atlantic,1447,1553,1409,0,0
Doors canno,EXPRESS                       ,NY Metro,1419,1556,1415,0,0
Doors canno,EXPRESS                       ,North Midwest,1459,1580,1441,0,0
Doors canno,EXPRESS                       ,Pacific Northwest,1524,1560,1411,0,0
Doors canno,LIBRARY                       ,California,1137,1131,1019,0,0
Doors canno,LIBRARY                       ,Mid Atlantic,1154,1181,1026,0,0
Doors canno,LIBRARY                       ,NY Metro,1121,1166,1033,0,0
Doors canno,LIBRARY                       ,North Midwest,1100,1117,1042,0,0
Doors canno,LIBRARY                       ,Pacific Northwest,1119,1129,994,0,0
