i_category,i_brand,d_year,d_moy,avg_monthly_sales,sum_sales,psum,nsum
Shoes                                             ,amalgedu pack #1                                  ,1999,3,8473.4433333333333333,4170.62,5705.12,5144.61
Shoes                                             ,exportiedu pack #1                                ,1999,3,8483.9141666666666667,4184.71,4382.59,4375.43
Music                                             ,edu packscholar #1                                ,1999,3,9654.6541666666666667,5355.48,5367.37,4987.81
Men                                               ,edu packimporto #1                                ,1999,7,8869.3208333333333333,4573.14,4984.86,10966.82
Music                                             ,edu packscholar #1                                ,1999,2,9654.6541666666666667,5367.37,6140.79,5355.48
Music                                             ,amalgscholar #1                                   ,1999,5,7556.5908333333333333,3279.77,3196.55,3719.01
Men                                               ,importoimporto #1                                 ,1999,3,8683.6750000000000000,4412.85,4838.97,5490.34
Men                                               ,amalgimporto #1                                   ,1999,2,7854.0966666666666667,3586.73,4763.15,4636.73
Men                                               ,edu packimporto #1                                ,1999,2,8551.3116666666666667,4286.32,5087.61,6222.11
Shoes                                             ,amalgedu pack #1                                  ,1999,1,8473.4433333333333333,4210.47,18746.03,5705.12
Music                                             ,edu packscholar #1                                ,1999,6,9552.9816666666666667,5291.89,6024.09,5413.66
Music                                             ,exportischolar #1                                 ,1999,6,8630.3683333333333333,4373.06,5268.57,4425.80
Shoes                                             ,amalgedu pack #1                                  ,1999,2,8109.4866666666666667,3855.67,3401.07,5088.21
Children                                          ,amalgexporti #1                                   ,1999,2,7367.9850000000000000,3118.68,5948.27,4790.01
Men                                               ,exportiimporto #1                                 ,1999,2,7851.0058333333333333,3602.57,4585.40,4175.50
