s_store_name,d_year,d_moy,avg_monthly_sales,sum_sales,psum,nsum
ese,1999,7,10408.9225000000000000,5723.83,6701.66,12453.92
able,1999,7,9931.9625000000000000,5259.04,7140.04,13108.89
ese,1999,2,9475.6233333333333333,4810.57,6034.08,5736.66
ese,1999,4,11050.097500000000,6391.68,5450.12,7527.20
able,1999,7,9692.7266666666666667,5043.86,6165.29,13235.46
able,1999,4,9247.0891666666666667,4608.21,5333.57,4334.24
bar,1999,3,8548.0591666666666667,3911.67,4851.88,5386.31
ese,1999,3,8715.3191666666666667,4089.08,4839.45,4437.48
ese,1999,6,9052.4891666666666667,4427.64,5446.28,5930.28
ese,1999,4,9052.4891666666666667,4442.08,4723.76,5446.28
able,1999,7,9256.8716666666666667,4657.34,6275.25,12952.25
ese,1999,2,9052.4891666666666667,4457.61,6428.92,4723.76
able,1999,7,11067.890833333333,6476.09,6305.46,15504.77
able,1999,6,8402.4250000000000000,3817.39,3914.01,4776.17
able,1999,1,11067.890833333333,6493.76,21711.12,5256.88
able,1999,6,9566.6750000000000000,4996.58,6308.99,5297.07
able,1999,2,10512.4691666666666667,5945.37,7750.27,6471.28
ese,1999,6,9415.1258333333333333,4862.32,5793.16,4551.08
bar,1999,2,9504.4450000000000000,4957.44,6694.23,5029.30
bar,1999,3,10651.1233333333333333,6109.45,4876.16,5313.38
bar,1999,7,9305.4291666666666667,4776.48,4907.26,11562.69
able,1999,3,9818.0225000000000000,5295.28,5684.90,4975.01
able,1999,4,10090.8066666666666667,5575.78,6027.96,6321.74
bar,1999,5,9371.8491666666666667,4858.60,5481.49,5426.80
bar,1999,4,8834.6333333333333333,4324.02,5546.78,4869.76
bar,1999,3,10026.3241666666666667,5526.78,6096.63,5895.34
ese,1999,7,9731.6325000000000000,5236.43,5754.17,12623.98
bar,1999,3,9867.4725000000000000,5373.61,4901.95,7386.07
able,1999,5,8402.4250000000000000,3914.01,4894.51,3817.39
bar,1999,3,9504.4450000000000000,5029.30,4957.44,5779.54
