ca_state,cd_gender,cd_marital_status,cd_dep_count,cnt1,avg,min,stddev_samp,cd_dep_employed_count,cnt2,avg,min,stddev_samp,cd_dep_college_count,cnt3,avg,min,stddev_samp
null,F,M,1,2,1.00000000000000000000,1,0,0,2,0.00000000000000000000,0,0,0,2,0.00000000000000000000,0,0
null,F,M,1,1,1.00000000000000000000,1,null,2,1,2.0000000000000000,2,null,2,1,2.0000000000000000,2,null
null,F,M,2,1,2.0000000000000000,2,null,1,1,1.00000000000000000000,1,null,1,1,1.00000000000000000000,1,null
null,F,M,2,1,2.0000000000000000,2,null,1,1,1.00000000000000000000,1,null,3,1,3.0000000000000000,3,null
null,F,M,2,1,2.0000000000000000,2,null,2,1,2.0000000000000000,2,null,5,1,5.0000000000000000,5,null
null,F,M,2,1,2.0000000000000000,2,null,3,1,3.0000000000000000,3,null,4,1,4.0000000000000000,4,null
null,F,M,2,1,2.0000000000000000,2,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,M,2,1,2.0000000000000000,2,null,5,1,5.0000000000000000,5,null,2,1,2.0000000000000000,2,null
null,F,M,3,1,3.0000000000000000,3,null,0,1,0.00000000000000000000,0,null,5,1,5.0000000000000000,5,null
null,F,M,3,1,3.0000000000000000,3,null,3,1,3.0000000000000000,3,null,4,1,4.0000000000000000,4,null
null,F,M,3,1,3.0000000000000000,3,null,4,1,4.0000000000000000,4,null,4,1,4.0000000000000000,4,null
null,F,M,3,1,3.0000000000000000,3,null,5,1,5.0000000000000000,5,null,3,1,3.0000000000000000,3,null
null,F,M,3,1,3.0000000000000000,3,null,6,1,6.0000000000000000,6,null,4,1,4.0000000000000000,4,null
null,F,M,4,1,4.0000000000000000,4,null,1,1,1.00000000000000000000,1,null,1,1,1.00000000000000000000,1,null
null,F,M,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null,2,1,2.0000000000000000,2,null
null,F,M,4,1,4.0000000000000000,4,null,4,1,4.0000000000000000,4,null,6,1,6.0000000000000000,6,null
null,F,M,4,1,4.0000000000000000,4,null,5,1,5.0000000000000000,5,null,5,1,5.0000000000000000,5,null
null,F,M,4,1,4.0000000000000000,4,null,6,1,6.0000000000000000,6,null,0,1,0.00000000000000000000,0,null
null,F,M,5,1,5.0000000000000000,5,null,0,1,0.00000000000000000000,0,null,6,1,6.0000000000000000,6,null
null,F,M,5,1,5.0000000000000000,5,null,4,1,4.0000000000000000,4,null,2,1,2.0000000000000000,2,null
null,F,M,5,1,5.0000000000000000,5,null,6,1,6.0000000000000000,6,null,1,1,1.00000000000000000000,1,null
null,F,M,5,1,5.0000000000000000,5,null,6,1,6.0000000000000000,6,null,2,1,2.0000000000000000,2,null
null,F,M,5,1,5.0000000000000000,5,null,6,1,6.0000000000000000,6,null,4,1,4.0000000000000000,4,null
null,F,M,6,2,6.0000000000000000,6,0,0,2,0.00000000000000000000,0,0,0,2,0.00000000000000000000,0,0
null,F,M,6,1,6.0000000000000000,6,null,1,1,1.00000000000000000000,1,null,4,1,4.0000000000000000,4,null
null,F,M,6,1,6.0000000000000000,6,null,3,1,3.0000000000000000,3,null,0,1,0.00000000000000000000,0,null
null,F,M,6,1,6.0000000000000000,6,null,3,1,3.0000000000000000,3,null,3,1,3.0000000000000000,3,null
null,F,S,0,1,0.00000000000000000000,0,null,1,1,1.00000000000000000000,1,null,5,1,5.0000000000000000,5,null
null,F,S,0,1,0.00000000000000000000,0,null,2,1,2.0000000000000000,2,null,0,1,0.00000000000000000000,0,null
null,F,S,0,1,0.00000000000000000000,0,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,S,0,1,0.00000000000000000000,0,null,4,1,4.0000000000000000,4,null,5,1,5.0000000000000000,5,null
null,F,S,0,1,0.00000000000000000000,0,null,4,1,4.0000000000000000,4,null,6,1,6.0000000000000000,6,null
null,F,S,0,1,0.00000000000000000000,0,null,6,1,6.0000000000000000,6,null,3,1,3.0000000000000000,3,null
null,F,S,1,1,1.00000000000000000000,1,null,0,1,0.00000000000000000000,0,null,4,1,4.0000000000000000,4,null
null,F,S,1,1,1.00000000000000000000,1,null,1,1,1.00000000000000000000,1,null,4,1,4.0000000000000000,4,null
null,F,S,1,1,1.00000000000000000000,1,null,1,1,1.00000000000000000000,1,null,5,1,5.0000000000000000,5,null
null,F,S,1,1,1.00000000000000000000,1,null,2,1,2.0000000000000000,2,null,6,1,6.0000000000000000,6,null
null,F,S,2,1,2.0000000000000000,2,null,1,1,1.00000000000000000000,1,null,5,1,5.0000000000000000,5,null
null,F,S,2,1,2.0000000000000000,2,null,2,1,2.0000000000000000,2,null,3,1,3.0000000000000000,3,null
null,F,S,2,1,2.0000000000000000,2,null,4,1,4.0000000000000000,4,null,3,1,3.0000000000000000,3,null
null,F,S,2,1,2.0000000000000000,2,null,6,1,6.0000000000000000,6,null,4,1,4.0000000000000000,4,null
null,F,S,2,1,2.0000000000000000,2,null,6,1,6.0000000000000000,6,null,5,1,5.0000000000000000,5,null
null,F,S,3,1,3.0000000000000000,3,null,2,1,2.0000000000000000,2,null,5,1,5.0000000000000000,5,null
null,F,S,3,1,3.0000000000000000,3,null,4,1,4.0000000000000000,4,null,2,1,2.0000000000000000,2,null
null,F,S,3,1,3.0000000000000000,3,null,6,1,6.0000000000000000,6,null,3,1,3.0000000000000000,3,null
null,F,S,4,1,4.0000000000000000,4,null,0,1,0.00000000000000000000,0,null,0,1,0.00000000000000000000,0,null
null,F,S,4,1,4.0000000000000000,4,null,0,1,0.00000000000000000000,0,null,2,1,2.0000000000000000,2,null
