i_product_name,i_brand,i_class,i_category,qoh
ableeingesecally                                  ,amalgscholar #1                                   ,null,null,442.3280000000000000
ableeingesecally                                  ,amalgscholar #1                                   ,rock                                              ,null,442.3280000000000000
ableeingesecally                                  ,amalgscholar #1                                   ,rock                                              ,Music                                             ,442.3280000000000000
callyeseationable                                 ,null,null,null,442.6528925619834711
callyeseationable                                 ,amalgscholar #1                                   ,null,null,442.6528925619834711
callyeseationable                                 ,amalgscholar #1                                   ,rock                                              ,null,442.6528925619834711
callyeseationable                                 ,amalgscholar #1                                   ,rock                                              ,Music                                             ,442.6528925619834711
antiesepriableable                                ,null,null,null,443.7142857142857143
antiesepriableable                                ,exportiamalg #2                                   ,null,null,443.7142857142857143
antiesepriableable                                ,exportiamalg #2                                   ,maternity                                         ,null,443.7142857142857143
antiesepriableable                                ,exportiamalg #2                                   ,maternity                                         ,Women                                             ,443.7142857142857143
eingeingoughteing                                 ,null,null,null,443.9796747967479675
eingeingoughteing                                 ,importoamalg #1                                   ,null,null,443.9796747967479675
eingeingoughteing                                 ,importoamalg #1                                   ,fragrances                                        ,null,443.9796747967479675
eingeingoughteing                                 ,importoamalg #1                                   ,fragrances                                        ,Women                                             ,443.9796747967479675
ablen stablecally                                 ,null,null,null,444.3508064516129032
ablen stablecally                                 ,amalgexporti #1                                   ,null,null,444.3508064516129032
ablen stablecally                                 ,amalgexporti #1                                   ,newborn                                           ,null,444.3508064516129032
ablen stablecally                                 ,amalgexporti #1                                   ,newborn                                           ,Children                                          ,444.3508064516129032
ableoughtationableable                            ,null,null,null,444.5750000000000000
ableoughtationableable                            ,exportiimporto #1                                 ,null,null,444.5750000000000000
ableoughtationableable                            ,exportiimporto #1                                 ,pants                                             ,null,444.5750000000000000
ableoughtationableable                            ,exportiimporto #1                                 ,pants                                             ,Men                                               ,444.5750000000000000
n steseantin stought                              ,null,null,null,445.3181818181818182
n steseantin stought                              ,amalgcorp #6                                      ,null,null,445.3181818181818182
n steseantin stought                              ,amalgcorp #6                                      ,birdal                                            ,null,445.3181818181818182
n steseantin stought                              ,amalgcorp #6                                      ,birdal                                            ,Jewelry                                           ,445.3181818181818182
priantiationableable                              ,null,null,null,445.3745019920318725
priantiationableable                              ,edu packimporto #2                                ,null,null,445.3745019920318725
priantiationableable                              ,edu packimporto #2                                ,sports-apparel                                    ,null,445.3745019920318725
priantiationableable                              ,edu packimporto #2                                ,sports-apparel                                    ,Men                                               ,445.3745019920318725
